SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
107694 ,		 35.636 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+4p(CTEQ6L1)
107695 ,		 10.571 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wmunu+5p(CTEQ6L1)
107700 ,		 8035.8 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+0p(CTEQ6L1)
107701 ,		 1579.8 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+1p(CTEQ6L1)
107702 ,		 477.55 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+2p(CTEQ6L1)
107703 ,		 133.79 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+3p(CTEQ6L1)
107704 ,		 35.583 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+4p(CTEQ6L1)
107705 ,		 10.54 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wtaunu+5p(CTEQ6L1)
107280 ,		 55.682 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wbb+0p(nocut)(CTEQ6L1)
107281 ,		 45.243 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wbb+1p(nocut)(CTEQ6L1)
107282 ,		 23.246 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wbb+2p(nocut)(CTEQ6L1)
107283 ,		 11.144 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wbb+3p(nocut)(CTEQ6L1)
117293 ,		 807.89 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wc+0p(nocut)(CTEQ6L1)
117294 ,		 267.61 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wc+1p(nocut)(CTEQ6L1)
117295 ,		 69.823 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wc+2p(nocut)(CTEQ6L1)
117296 ,		 20.547 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wc+3p(nocut)(CTEQ6L1)
117297 ,		 4.3069 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wc+4p(nocut)(CTEQ6L1)
117284 ,		 150.19 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wcc+0p(nocut)(CTEQ6L1)
117285 ,		 132.68 ,		 1.19 ,		 1.0 ,		 -- ,		 -999 ,		 2 ,		 Alpgen ,		 Wcc+1p(nocut)(CTEQ6L1)
