SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
"161177","0.0006671","1.0","1.0","--","340","1","Pythia8","ZH_H->WW->leplep"
"161178","0.0004886","1.0","1.0","--","360","1","Pythia8","ZH_H->WW->leplep"
"161179","0.0003633","1.0","1.0","--","380","1","Pythia8","ZH_H->WW->leplep"
"161180","0.0002790","1.0","1.0","--","400","1","Pythia8","ZH_H->WW->leplep"
"161502","0.0127981","1.0","1.0","--","110","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161503","0.0201847","1.0","1.0","--","115","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161504","0.0290912","1.0","1.0","--","120","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161505","0.0391131","1.0","1.0","--","125","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161506","0.0487246","1.0","1.0","--","130","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161507","0.0571039","1.0","1.0","--","135","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161508","0.0636001","1.0","1.0","--","140","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161509","0.0678887","1.0","1.0","--","145","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161510","0.0703666","1.0","1.0","--","150","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161511","0.0716489","1.0","1.0","--","155","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161512","0.072231","1.0","1.0","--","160","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161513","0.0707745","1.0","1.0","--","165","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161514","0.0641018","1.0","1.0","--","170","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161515","0.0574501","1.0","1.0","--","175","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161516","0.0502569","1.0","1.0","--","180","1","Pythia8","ZH_H->WW->lepjetjet","Full"
"161517","0.0415927","1.0","1.0","--","185","1","Pythia8","ZH_H->WW->lepjetjet","Full"
